Date,Revenue,MA7,MA30,Rolling_STD,Pct_Change,Difference,Lag1,Lag7,Lag30,Expanding
2022-01-01,92229.6125,,,,,,,,,92229.6125
2022-01-02,67303.999,,,,-27.025607962952247,-24925.613500000007,92229.6125,,,79766.80575
2022-01-03,98408.862,,,,46.21547524984362,31104.862999999998,67303.999,,,85980.8245
2022-01-04,65329.6435,,,,-33.61406465608757,-33079.218499999995,98408.862,,,80818.02924999999
2022-01-05,68891.636,,,,5.452337268609164,3561.9925000000003,65329.6435,,,78432.7506
2022-01-06,70619.735,,,,2.508430776705617,1728.099000000002,68891.636,,,77130.58133333334
2022-01-07,78994.31850000001,77396.82949999999,,,11.858701395580162,8374.583500000008,70619.735,,,77396.82949999999
2022-01-08,63220.0795,73252.6105,,,-19.968827251797872,-15774.239000000009,78994.31850000001,92229.6125,,75624.73575
2022-01-09,124531.05500000001,81427.9042142857,,,96.98022524631594,61310.97550000001,63220.0795,67303.999,,81058.77122222222
2022-01-10,72420.7215,77715.31271428571,,,-41.845251772740546,-52110.33350000001,124531.05500000001,98408.862,,80194.96625
2022-01-11,69370.8435,78292.62700000001,,,-4.211333354363223,-3049.877999999997,72420.7215,65329.6435,,79210.95509090909
2022-01-12,52631.315,75969.724,,,-24.130495832878264,-16739.5285,69370.8435,68891.636,,76995.98508333333
2022-01-13,70808.1655,75996.64264285714,,,34.53618914898857,18176.8505,52631.315,70619.735,,76519.99896153845
2022-01-14,102379.7555,79337.41935714286,,,44.58749888104359,31571.589999999997,70808.1655,78994.31850000001,,78367.12442857143
2022-01-15,97706.8985,84264.1077857143,,,-4.564239265056658,-4672.857000000004,102379.7555,63220.0795,,79656.4427
2022-01-16,62232.091,75364.25578571428,,,-36.307372401141144,-35474.807499999995,97706.8985,124531.05500000001,,78567.42071875
2022-01-17,92279.3845,78201.20764285713,,,48.28263524039389,30047.2935,62232.091,72420.7215,,79374.0068235294
2022-01-18,113098.427,84448.00528571429,,,22.56088140683252,20819.042499999996,92279.3845,69370.8435,,81247.58572222223
2022-01-19,86007.173,89215.985,,,-23.95369654433832,-27091.254,113098.427,52631.315,,81498.09031578948
2022-01-20,60316.631,87717.19435714286,,,-29.870231870079024,-25690.541999999994,86007.173,70808.1655,,80439.01735000001
2022-01-21,83898.6995,85077.0435,,,39.0971248045999,23582.0685,60316.631,102379.7555,,80603.76411904761
2022-01-22,97088.703,84988.72985714285,,,15.721344405344428,13190.003499999992,83898.6995,97706.8985,,81353.07952272728
2022-01-23,72498.6825,86455.38578571427,,,-25.327375626801818,-24590.0205,97088.703,62232.091,,80968.10573913043
2022-01-24,91493.846,86343.166,,,26.200701647233405,18995.16350000001,72498.6825,92279.3845,,81406.67825
2022-01-25,64295.4055,79371.30578571428,,,-29.72707093327348,-27198.440500000004,91493.846,113098.427,,80722.22734
2022-01-26,76042.5505,77947.7882857143,,,18.27058233577825,11747.144999999997,64295.4055,86007.173,,80542.23976923077
2022-01-27,71345.41649999999,79523.32907142858,,,-6.176981136370497,-4697.1340000000055,76042.5505,60316.631,,80201.61668518519
2022-01-28,59632.2015,76056.6865,,,-16.41761387712971,-11713.21499999999,71345.41649999999,83898.6995,,79466.99471428571
2022-01-29,43188.282,68356.62635714286,,,-27.575570055048203,-16443.919500000004,59632.2015,97088.703,,78216.00462068965
2022-01-30,55096.356999999996,65870.57985714286,77445.34969999999,18729.327718137076,27.57246745772384,11908.074999999997,43188.282,72498.6825,,77445.34969999999
2022-01-31,88858.0845,65494.042499999996,77332.96543333333,18647.493100258805,61.27760407099147,33761.7275,55096.356999999996,91493.846,92229.6125,77813.50243548387
2022-02-01,41227.8415,62198.67621428571,76463.76018333333,19708.632138476085,-53.60259932229352,-47630.242999999995,88858.0845,64295.4055,67303.999,76670.20053125
2022-02-02,90913.9855,64323.166928571416,76213.93096666667,19466.881089435974,120.51599645351305,49686.14399999999,41227.8415,76042.5505,98408.862,77101.83037878787
2022-02-03,79923.4465,65548.59978571428,76700.39106666666,19367.603424742836,-12.088942025316873,-10990.53899999999,90913.9855,71345.41649999999,65329.6435,77184.8190882353
2022-02-04,49007.3485,64030.76364285714,76037.58148333333,19974.782606145545,-38.68213816329855,-30916.098000000005,79923.4465,59632.2015,68891.636,76379.74849999999
2022-02-05,63830.498999999996,66979.65178571429,75811.27361666667,20076.48273344483,30.246791458223864,14823.150499999996,49007.3485,43188.282,70619.735,76031.1582361111
2022-02-06,133385.5115,78163.81671428571,77624.31338333334,22663.15352763299,108.9683044777701,69555.0125,63830.498999999996,55096.356999999996,78994.31850000001,77581.2758918919
2022-02-07,82030.699,77188.47592857142,78251.33403333333,22510.592862998008,-38.50104252139859,-51354.8125,133385.5115,88858.0845,63220.0795,77698.36597368421
2022-02-08,74622.7395,81959.17564285712,76587.72351666665,20747.58238285387,-9.03071604936586,-7407.959499999997,82030.699,41227.8415,124531.05500000001,77619.50375641025
2022-02-09,56556.973,77051.03099999999,76058.9319,21057.295820184696,-24.20946566830342,-18065.766499999998,74622.7395,90913.9855,72420.7215,77092.9404875
2022-02-10,82974.591,77486.90878571429,76512.39015,21054.779614066727,46.70974523335965,26417.618000000002,56556.973,79923.4465,69370.8435,77236.39537804878
2022-02-11,90439.758,83405.82442857142,77772.67158333333,20704.676416197413,8.996931361794847,7465.167000000001,82974.591,49007.3485,52631.315,77550.7611547619
2022-02-12,49925.832500000004,81419.44349999998,77076.59381666666,21289.65388497155,-44.796587691001996,-40513.9255,90439.758,63830.498999999996,70808.1655,76908.32095348836
2022-02-13,67073.708,71946.32871428572,75899.72556666666,20813.19929413765,34.34669917622304,17147.875499999995,49925.832500000004,133385.5115,102379.7555,76684.80702272727
2022-02-14,90306.489,73128.58442857143,75653.04525,20588.46780216944,34.637686945829806,23232.781000000003,67073.708,82030.699,97706.8985,76987.51106666667
2022-02-15,80741.7545,74002.72942857143,76270.03403333333,20449.279458578127,-10.591414422057765,-9564.734500000006,90306.489,74622.7395,62232.091,77069.12505434782
2022-02-16,38975.3635,71491.07092857143,74493.23333333334,21308.00432966321,-51.72836688853473,-41766.390999999996,80741.7545,56556.973,92279.3845,76258.6194893617
2022-02-17,42421.2965,65697.74314285714,72137.32898333334,20793.433978463967,8.84131074236163,3445.9329999999973,38975.3635,82974.591,113098.427,75553.67526041667
2022-02-18,80824.637,64324.154428571426,71964.57778333333,20695.527969456547,90.52844601295958,38403.340500000006,42421.2965,90439.758,86007.173,75661.24590816326
2022-02-19,53366.090000000004,64815.61978571429,71732.89308333333,20868.60388045029,-33.97299142834381,-27458.547,80824.637,49925.832500000004,60316.631,75215.34279
2022-02-20,83466.7065,67157.47671428572,71718.49331666667,20860.067048348403,56.40401329758278,30100.616499999996,53366.090000000004,67073.708,83898.6995,75377.13423529411
2022-02-21,79149.7265,65563.6535,71120.52743333332,20358.83127184316,-5.1720981706640075,-4316.979999999996,83466.7065,90306.489,97088.703,75449.68408653846
2022-02-22,88405.8965,66658.53092857143,71650.7679,20601.664090565482,11.694506613361444,9256.169999999998,79149.7265,80741.7545,72498.6825,75694.1409245283
2022-02-23,55870.0875,69072.06292857142,70463.30928333334,20444.549667525614,-36.80275896529142,-32535.809,88405.8965,38975.3635,91493.846,75327.02882407408
